Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol],Age [ka BP],Model Date,Obliquity,Eccentricity,Length of Perihelion
10.0,0.00026347,6.8788e-07,2.5956000000000003e-07,10.0,12850,24.229767000000002,0.0194193237,114.79181000000001
10.001,0.00026348,6.878900000000001e-07,2.5957e-07,10.001,12849,24.22975,0.019419454,114.77533000000001
10.002,0.00026348,6.8792e-07,2.5958e-07,10.002,12848,24.229733,0.0194195751,114.75891000000001
10.003,0.00026348,6.8793e-07,2.5959e-07,10.003,12847,24.229720999999998,0.0194197036,114.74246000000001
10.004,0.00026349,6.879e-07,2.596e-07,10.004,12846,24.22971,0.0194198228,114.72604
10.005,0.00026349,6.8781e-07,2.5961000000000003e-07,10.005,12845,24.229694,0.0194199476,114.70956000000001
10.006,0.00026349,6.8764e-07,2.5963e-07,10.006,12844,24.229675,0.0194200762,114.69318
10.007,0.0002635,6.874e-07,2.5964e-07,10.007,12843,24.229666,0.0194201972,114.6767
10.008,0.0002635,6.871200000000001e-07,2.5964999999999997e-07,10.008,12842,24.229651999999998,0.0194203202,114.66025
10.009,0.00026351,6.8681e-07,2.5966000000000004e-07,10.009,12841,24.229641,0.019420448700000002,114.6438
10.01,0.00026351,6.864900000000001e-07,2.5967000000000005e-07,10.01,12840,24.229626,0.0194205754,114.62735
10.011,0.00026351,6.8615e-07,2.5968e-07,10.011,12839,24.229614,0.0194206964,114.61093000000001
10.012,0.00026351999999999994,6.8579e-07,2.5969e-07,10.012,12838,24.229597000000002,0.0194208249,114.59448
10.013,0.00026351999999999994,6.854e-07,2.5970000000000003e-07,10.013,12837,24.229584,0.019420944199999998,114.57806000000001
10.014,0.00026351999999999994,6.849600000000001e-07,2.5971e-07,10.014,12836,24.229568,0.0194210727,114.56158
10.015,0.00026352999999999994,6.8446e-07,2.5972000000000005e-07,10.015,12835,24.229553,0.019421193700000002,114.54517
10.016,0.00026352999999999994,6.838900000000001e-07,2.5974e-07,10.016,12834,24.229538,0.0194213111,114.52871999999999
10.017,0.00026352999999999994,6.8327e-07,2.5975000000000003e-07,10.017,12833,24.229528,0.0194214396,114.51227
10.018,0.00026354,6.8263e-07,2.5976e-07,10.018,12832,24.229511,0.0194215626,114.49585
10.019,0.00026354,6.819800000000001e-07,2.5977e-07,10.019,12831,24.229495999999997,0.019421689199999998,114.47936999999999
10.02,0.00026355,6.8136e-07,2.5978e-07,10.02,12830,24.229485999999998,0.0194218084,114.46295
10.021,0.00026355,6.8077e-07,2.5979e-07,10.021,12829,24.229469,0.0194219369,114.4465
10.022,0.00026355,6.8023e-07,2.5980000000000004e-07,10.022,12828,24.229456,0.0194220636,114.43005
10.023,0.00026356,6.797200000000001e-07,2.5980000000000004e-07,10.023,12827,24.229443,0.0194221865,114.41363999999999
10.024,0.00026356,6.7925e-07,2.5981e-07,10.024,12826,24.229429,0.0194223095,114.39719
10.025,0.00026356,6.788400000000001e-07,2.5982e-07,10.025,12825,24.229412,0.019422436100000003,114.38077
10.026,0.00026356999999999997,6.784700000000001e-07,2.5983e-07,10.026,12824,24.229404000000002,0.0194225572,114.36431999999999
10.027,0.00026356999999999997,6.7816e-07,2.5984e-07,10.027,12823,24.229382,0.019422682,114.34783999999999
10.028,0.00026357999999999997,6.7791e-07,2.5985000000000004e-07,10.028,12822,24.22937,0.0194228031,114.33142
10.029,0.00026357999999999997,6.7771e-07,2.5986000000000005e-07,10.029,12821,24.229357,0.019422926,114.315
10.03,0.00026357999999999997,6.7755e-07,2.5986000000000005e-07,10.03,12820,24.229343,0.0194230545,114.29855
10.031,0.00026358999999999996,6.7742e-07,2.5987e-07,10.031,12819,24.229328,0.0194231775,114.2821
10.032,0.00026358999999999996,6.773e-07,2.5988e-07,10.032,12818,24.229315,0.0194233004,114.26566000000001
10.033,0.0002636,6.772000000000001e-07,2.5989e-07,10.033,12817,24.229301,0.0194234196,114.24918000000001
10.034,0.0002636,6.770900000000001e-07,2.5989e-07,10.034,12816,24.229284,0.0194235425,114.23276000000001
10.035,0.0002636,6.7695e-07,2.599e-07,10.035,12815,24.229271,0.0194236729,114.21631000000001
10.036,0.00026361,6.7679e-07,2.5991000000000006e-07,10.036,12814,24.229256,0.0194237903,114.19986000000002
10.037,0.00026361,6.766000000000001e-07,2.5991000000000006e-07,10.037,12813,24.22924,0.0194239151,114.18343999999999
10.038,0.00026361,6.7637e-07,2.5992e-07,10.038,12812,24.229229,0.0194240361,114.16698999999998
10.039,0.00026362,6.7612e-07,2.5992e-07,10.039,12811,24.229212,0.0194241628,114.15057
10.04,0.00026362,6.758400000000001e-07,2.5993e-07,10.04,12810,24.229197,0.019424285700000002,114.13412
10.041,0.00026363,6.755200000000001e-07,2.5994000000000004e-07,10.041,12809,24.229185,0.0194244124,114.11768000000001
10.042,0.00026363,6.7515e-07,2.5994000000000004e-07,10.042,12808,24.229167999999998,0.0194245335,114.10123
10.043,0.00026363,6.747200000000001e-07,2.5995e-07,10.043,12807,24.229153,0.0194246601,114.08478000000001
10.044,0.00026364,6.7423e-07,2.5995e-07,10.044,12806,24.229141000000002,0.0194247793,114.06836000000001
10.045,0.00026364,6.7368e-07,2.5996e-07,10.045,12805,24.229129999999998,0.0194249023,114.05191
10.046,0.00026365,6.7308e-07,2.5996e-07,10.046,12804,24.229109,0.0194250252,114.03546000000001
10.047,0.00026365,6.724600000000001e-07,2.5997e-07,10.047,12803,24.229095,0.019425146299999998,114.01901000000001
10.048,0.00026365,6.718200000000001e-07,2.5997e-07,10.048,12802,24.22908,0.019425272900000002,114.00256
10.049,0.00026366000000000003,6.712100000000001e-07,2.5998000000000003e-07,10.049,12801,24.229067,0.019425394,113.98615
10.05,0.00026366000000000003,6.7062e-07,2.5998000000000003e-07,10.05,12800,24.229053,0.0194255151,113.96973
10.051,0.00026367000000000003,6.701e-07,2.5998000000000003e-07,10.051,12799,24.229034,0.0194256455,113.95325
10.052,0.00026367000000000003,6.696400000000001e-07,2.5999000000000004e-07,10.052,12798,24.229025,0.0194257647,113.93683
10.053,0.00026367000000000003,6.6926e-07,2.5999000000000004e-07,10.053,12797,24.229,0.0194258839,113.92041
10.054,0.00026367999999999997,6.6898e-07,2.6e-07,10.054,12796,24.228992,0.0194260143,113.90396000000001
10.055,0.00026367999999999997,6.688e-07,2.6e-07,10.055,12795,24.228977,0.0194261316,113.88751
10.056,0.00026368999999999996,6.687400000000001e-07,2.6e-07,10.056,12794,24.228962,0.019426262,113.87106000000001
10.057,0.00026368999999999996,6.6878e-07,2.6001e-07,10.057,12793,24.228941,0.019426381200000002,113.85461000000001
10.058,0.00026368999999999996,6.689299999999999e-07,2.6001e-07,10.058,12792,24.228932999999998,0.0194265023,113.8382
10.059,0.00026369999999999996,6.6917e-07,2.6001e-07,10.059,12791,24.228912,0.0194266289,113.82172
10.06,0.00026369999999999996,6.694800000000001e-07,2.6002e-07,10.06,12790,24.228899,0.0194267519,113.8053
10.061,0.00026370999999999995,6.698400000000001e-07,2.6002e-07,10.061,12789,24.228888,0.0194268692,113.78888
10.062,0.00026370999999999995,6.702500000000001e-07,2.6002e-07,10.062,12788,24.22887,0.0194269922,113.7724
10.063,0.00026370999999999995,6.7068e-07,2.6003e-07,10.063,12787,24.228855,0.0194271114,113.75598000000001
10.064,0.00026372,6.7113e-07,2.6003e-07,10.064,12786,24.228842,0.0194272399,113.73953
10.065,0.00026372,6.7158e-07,2.6003e-07,10.065,12785,24.228825,0.0194273628,113.72308000000001
10.066,0.00026373,6.7202e-07,2.6004000000000004e-07,10.066,12784,24.228811,0.0194274802,113.70663
10.067,0.00026373,6.724400000000001e-07,2.6004000000000004e-07,10.067,12783,24.228796,0.0194276106,113.69025
10.068,0.00026373,6.728300000000001e-07,2.6004000000000004e-07,10.068,12782,24.228779,0.0194277298,113.6738
10.069,0.00026374,6.7321e-07,2.6005e-07,10.069,12781,24.228765,0.0194278527,113.65732
10.07,0.00026374,6.7356e-07,2.6005e-07,10.07,12780,24.228748,0.019427973799999998,113.6409
10.071,0.00026375,6.7388e-07,2.6005e-07,10.071,12779,24.228731,0.0194280911,113.62445
10.072,0.00026375,6.7416e-07,2.6005e-07,10.072,12778,24.228720000000003,0.0194282215,113.60803
10.073,0.00026375,6.744000000000001e-07,2.6006e-07,10.073,12777,24.228703,0.0194283444,113.59155
10.074,0.00026376,6.745900000000001e-07,2.6006e-07,10.074,12776,24.228685000000002,0.0194284581,113.57513
10.075,0.00026376,6.7471e-07,2.6006e-07,10.075,12775,24.228672,0.0194285847,113.55868999999998
10.076,0.00026377,6.747800000000001e-07,2.6006e-07,10.076,12774,24.228661,0.0194287095,113.54227
10.077,0.00026377,6.7479e-07,2.6007e-07,10.077,12773,24.228642,0.0194288343,113.52578999999999
10.078,0.00026377999999999997,6.747800000000001e-07,2.6007e-07,10.078,12772,24.228628,0.0194289573,113.50934
10.079,0.00026377999999999997,6.747800000000001e-07,2.6007e-07,10.079,12771,24.228614999999998,0.0194290727,113.49292
10.08,0.00026377999999999997,6.748200000000001e-07,2.6008e-07,10.08,12770,24.228594,0.0194291975,113.4765
10.081,0.00026379,6.7492e-07,2.6008e-07,10.081,12769,24.228582,0.019429318600000002,113.46005
10.082,0.00026379,6.751000000000001e-07,2.6008e-07,10.082,12768,24.228565,0.0194294378,113.4436
10.083,0.0002638,6.7535e-07,2.6008e-07,10.083,12767,24.228545999999998,0.0194295645,113.42715
10.084,0.0002638,6.7564e-07,2.6009e-07,10.084,12766,24.228527,0.019429685500000002,113.41071000000001
10.085,0.0002638,6.7596e-07,2.6009e-07,10.085,12765,24.228519,0.0194298103,113.39428999999998
10.086,0.00026381,6.7626e-07,2.6009e-07,10.086,12764,24.228497,0.0194299258,113.37783999999999
10.087,0.00026381,6.7653e-07,2.6010000000000006e-07,10.087,12763,24.228485,0.019430050600000002,113.36138999999999
10.088,0.00026382,6.767300000000001e-07,2.6010000000000006e-07,10.088,12762,24.22847,0.0194301754,113.34494
10.089,0.00026382,6.7685e-07,2.6010000000000006e-07,10.089,12761,24.228453,0.0194302965,113.32852
10.09,0.00026382999999999995,6.768600000000001e-07,2.6010000000000006e-07,10.09,12760,24.228437,0.0194304194,113.3121
