Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
10.0,263.47,687.88,259.56
10.001,263.48,687.89,259.57
10.002,263.48,687.92,259.58
10.003,263.48,687.93,259.59
10.004,263.49,687.9,259.6
10.005,263.49,687.81,259.61
10.006,263.49,687.64,259.63
10.007,263.5,687.4,259.64
10.008,263.5,687.12,259.65
10.009,263.51,686.81,259.66
10.01,263.51,686.49,259.67
10.011,263.51,686.15,259.68
10.012,263.52,685.79,259.69
10.013,263.52,685.4,259.7
10.014,263.52,684.96,259.71
10.015,263.53,684.46,259.72
10.016,263.53,683.89,259.74
10.017,263.53,683.27,259.75
10.018,263.54,682.63,259.76
10.019,263.54,681.98,259.77
10.02,263.55,681.36,259.78
10.021,263.55,680.77,259.79
10.022,263.55,680.23,259.8
10.023,263.56,679.72,259.8
10.024,263.56,679.25,259.81
10.025,263.56,678.84,259.82
10.026,263.57,678.47,259.83
10.027,263.57,678.16,259.84
10.028,263.58,677.91,259.85
10.029,263.58,677.71,259.86
10.03,263.58,677.55,259.86
10.031,263.59,677.42,259.87
10.032,263.59,677.3,259.88
10.033,263.6,677.2,259.89
10.034,263.6,677.09,259.89
10.035,263.6,676.95,259.9
10.036,263.61,676.79,259.91
10.037,263.61,676.6,259.91
10.038,263.61,676.37,259.92
10.039,263.62,676.12,259.92
10.04,263.62,675.84,259.93
10.041,263.63,675.52,259.94
10.042,263.63,675.15,259.94
10.043,263.63,674.72,259.95
10.044,263.64,674.23,259.95
10.045,263.64,673.68,259.96
10.046,263.65,673.08,259.96
10.047,263.65,672.46,259.97
10.048,263.65,671.82,259.97
10.049,263.66,671.21,259.98
10.05,263.66,670.62,259.98
10.051,263.67,670.1,259.98
10.052,263.67,669.64,259.99
10.053,263.67,669.26,259.99
10.054,263.68,668.98,260.0
10.055,263.68,668.8,260.0
10.056,263.69,668.74,260.0
10.057,263.69,668.78,260.01
10.058,263.69,668.93,260.01
10.059,263.7,669.17,260.01
10.06,263.7,669.48,260.02
10.061,263.71,669.84,260.02
10.062,263.71,670.25,260.02
10.063,263.71,670.68,260.03
10.064,263.72,671.13,260.03
10.065,263.72,671.58,260.03
10.066,263.73,672.02,260.04
10.067,263.73,672.44,260.04
10.068,263.73,672.83,260.04
10.069,263.74,673.21,260.05
10.07,263.74,673.56,260.05
10.071,263.75,673.88,260.05
10.072,263.75,674.16,260.05
10.073,263.75,674.4,260.06
10.074,263.76,674.59,260.06
10.075,263.76,674.71,260.06
10.076,263.77,674.78,260.06
10.077,263.77,674.79,260.07
10.078,263.78,674.78,260.07
10.079,263.78,674.78,260.07
10.08,263.78,674.82,260.08
10.081,263.79,674.92,260.08
10.082,263.79,675.1,260.08
10.083,263.8,675.35,260.08
10.084,263.8,675.64,260.09
10.085,263.8,675.96,260.09
10.086,263.81,676.26,260.09
10.087,263.81,676.53,260.1
10.088,263.82,676.73,260.1
10.089,263.82,676.85,260.1
10.09,263.83,676.86,260.1
10.091,263.83,676.76,260.11
10.092,263.83,676.55,260.11
10.093,263.84,676.25,260.11
10.094,263.84,675.87,260.12
10.095,263.85,675.46,260.12
10.096,263.85,675.06,260.12
10.097,263.86,674.69,260.13
10.098,263.86,674.38,260.13
10.099,263.87,674.13,260.13
10.1,263.87,673.96,260.14
10.101,263.87,673.86,260.14
10.102,263.88,673.83,260.15
10.103,263.88,673.87,260.15
10.104,263.89,673.97,260.16
10.105,263.89,674.09,260.16
10.106,263.9,674.21,260.16
10.107,263.9,674.32,260.17
10.108,263.91,674.38,260.17
10.109,263.91,674.38,260.18
10.11,263.91,674.31,260.18
10.111,263.92,674.16,260.19
10.112,263.92,673.94,260.19
10.113,263.93,673.65,260.2
10.114,263.93,673.29,260.21
10.115,263.94,672.85,260.21
10.116,263.94,672.36,260.22
10.117,263.95,671.82,260.22
10.118,263.95,671.24,260.23
10.119,263.95,670.67,260.24
10.12,263.96,670.13,260.24
10.121,263.96,669.6,260.25
10.122,263.97,669.09,260.26
10.123,263.97,668.56,260.27
10.124,263.98,667.99,260.27
10.125,263.98,667.34,260.28
10.126,263.99,666.63,260.29
10.127,263.99,665.84,260.3
10.128,264.0,665.0,260.31
10.129,264.0,664.12,260.31
10.13,264.01,663.24,260.32
10.131,264.01,662.37,260.33
10.132,264.02,661.54,260.34
10.133,264.02,660.76,260.35
10.134,264.02,660.06,260.36
10.135,264.03,659.45,260.37
10.136,264.03,658.94,260.38
10.137,264.04,658.54,260.39
10.138,264.04,658.27,260.4
10.139,264.05,658.13,260.41
10.14,264.05,658.13,260.42
10.141,264.06,658.25,260.44
10.142,264.06,658.51,260.45
10.143,264.07,658.88,260.46
10.144,264.07,659.34,260.47
10.145,264.08,659.86,260.49
10.146,264.08,660.42,260.5
10.147,264.09,661.0,260.51
10.148,264.09,661.56,260.53
10.149,264.1,662.13,260.54
10.15,264.1,662.7,260.55
10.151,264.11,663.29,260.57
10.152,264.11,663.91,260.58
10.153,264.12,664.55,260.6
10.154,264.12,665.19,260.61
10.155,264.13,665.82,260.63
10.156,264.13,666.42,260.65
10.157,264.14,666.99,260.66
10.158,264.14,667.56,260.68
10.159,264.15,668.15,260.7
10.16,264.15,668.8,260.71
10.161,264.16,669.53,260.73
10.162,264.16,670.35,260.75
10.163,264.17,671.25,260.77
10.164,264.17,672.21,260.79
10.165,264.18,673.22,260.81
10.166,264.18,674.24,260.82
10.167,264.19,675.27,260.84
10.168,264.19,676.29,260.86
10.169,264.2,677.32,260.89
10.17,264.2,678.35,260.91
10.171,264.21,679.41,260.93
10.172,264.21,680.49,260.95
10.173,264.22,681.58,260.97
10.174,264.22,682.68,260.99
10.175,264.23,683.77,261.02
10.176,264.23,684.85,261.04
10.177,264.24,685.92,261.06
10.178,264.24,686.98,261.09
10.179,264.25,688.03,261.11
10.18,264.25,689.08,261.14
10.181,264.26,690.11,261.16
10.182,264.26,691.12,261.19
10.183,264.27,692.1,261.21
10.184,264.27,693.03,261.24
10.185,264.28,693.9,261.27
10.186,264.29,694.71,261.3
10.187,264.29,695.46,261.32
10.188,264.3,696.15,261.35
10.189,264.3,696.77,261.38
10.19,264.31,697.33,261.41
10.191,264.31,697.84,261.44
10.192,264.32,698.28,261.47
10.193,264.32,698.63,261.5
10.194,264.33,698.89,261.53
10.195,264.33,699.02,261.56
10.196,264.34,699.0,261.59
10.197,264.34,698.8,261.63
10.198,264.35,698.41,261.66
10.199,264.35,697.83,261.69
10.2,264.36,697.07,261.72
10.201,264.37,696.18,261.76
10.202,264.37,695.18,261.79
10.203,264.38,694.14,261.83
10.204,264.38,693.09,261.86
10.205,264.39,692.05,261.9
10.206,264.39,691.05,261.93
10.207,264.4,690.1,261.97
10.208,264.4,689.22,262.0
10.209,264.41,688.4,262.04
10.21,264.42,687.65,262.08
10.211,264.42,686.97,262.11
10.212,264.43,686.36,262.15
10.213,264.43,685.82,262.19
10.214,264.44,685.36,262.23
10.215,264.44,684.98,262.27
10.216,264.45,684.7,262.3
10.217,264.45,684.52,262.34
10.218,264.46,684.45,262.38
10.219,264.47,684.48,262.42
10.22,264.47,684.6,262.46
10.221,264.48,684.79,262.5
10.222,264.48,685.03,262.54
10.223,264.49,685.29,262.58
10.224,264.49,685.55,262.62
10.225,264.5,685.79,262.67
10.226,264.51,685.99,262.71
10.227,264.51,686.14,262.75
10.228,264.52,686.26,262.79
10.229,264.52,686.34,262.83
10.23,264.53,686.41,262.88
10.231,264.53,686.5,262.92
10.232,264.54,686.63,262.96
10.233,264.55,686.83,263.0
10.234,264.55,687.12,263.05
10.235,264.56,687.51,263.09
10.236,264.56,687.99,263.14
10.237,264.57,688.54,263.18
10.238,264.57,689.16,263.22
10.239,264.58,689.84,263.27
10.24,264.59,690.56,263.31
10.241,264.59,691.32,263.36
10.242,264.6,692.12,263.4
10.243,264.6,692.95,263.45
10.244,264.61,693.79,263.49
10.245,264.62,694.62,263.54
10.246,264.62,695.42,263.59
10.247,264.63,696.17,263.63
10.248,264.63,696.84,263.68
10.249,264.64,697.42,263.72
10.25,264.65,697.89,263.77
10.251,264.65,698.25,263.82
10.252,264.66,698.49,263.86
10.253,264.66,698.63,263.91
10.254,264.67,698.65,263.96
10.255,264.68,698.57,264.01
10.256,264.68,698.38,264.05
10.257,264.69,698.1,264.1
10.258,264.69,697.75,264.15
10.259,264.7,697.35,264.2
10.26,264.7,696.95,264.24
10.261,264.71,696.58,264.29
10.262,264.72,696.28,264.34
10.263,264.72,696.04,264.39
10.264,264.73,695.88,264.44
10.265,264.73,695.77,264.48
10.266,264.74,695.68,264.53
10.267,264.75,695.61,264.58
10.268,264.75,695.54,264.63
10.269,264.76,695.47,264.68
10.27,264.77,695.42,264.72
10.271,264.77,695.41,264.77
10.272,264.78,695.44,264.82
10.273,264.78,695.52,264.87
10.274,264.79,695.65,264.92
10.275,264.8,695.83,264.97
10.276,264.8,696.02,265.02
10.277,264.81,696.21,265.07
10.278,264.81,696.35,265.11
10.279,264.82,696.45,265.16
10.28,264.83,696.48,265.21
10.281,264.83,696.46,265.26
10.282,264.84,696.37,265.31
10.283,264.84,696.23,265.36
10.284,264.85,696.03,265.41
10.285,264.86,695.75,265.46
10.286,264.86,695.41,265.5
10.287,264.87,694.99,265.55
10.288,264.88,694.53,265.6
10.289,264.88,694.03,265.65
10.29,264.89,693.52,265.7
10.291,264.89,693.02,265.75
10.292,264.9,692.57,265.8
10.293,264.91,692.17,265.85
10.294,264.91,691.84,265.9
10.295,264.92,691.59,265.95
10.296,264.92,691.42,266.0
10.297,264.93,691.32,266.05
10.298,264.94,691.28,266.1
10.299,264.94,691.29,266.14
10.3,264.95,691.33,266.19
10.301,264.96,691.39,266.24
10.302,264.96,691.47,266.29
10.303,264.97,691.56,266.34
10.304,264.97,691.67,266.39
10.305,264.98,691.8,266.44
10.306,264.99,691.93,266.49
10.307,264.99,692.08,266.54
10.308,265.0,692.24,266.59
10.309,265.01,692.42,266.64
10.31,265.01,692.62,266.68
10.311,265.02,692.84,266.73
10.312,265.02,693.1,266.78
10.313,265.03,693.39,266.83
10.314,265.04,693.69,266.88
10.315,265.04,693.99,266.93
10.316,265.05,694.26,266.98
10.317,265.06,694.49,267.03
10.318,265.06,694.66,267.07
10.319,265.07,694.77,267.12
10.32,265.07,694.83,267.17
10.321,265.08,694.85,267.22
10.322,265.09,694.84,267.27
10.323,265.09,694.84,267.31
10.324,265.1,694.84,267.36
10.325,265.11,694.84,267.41
10.326,265.11,694.83,267.46
10.327,265.12,694.81,267.5
10.328,265.13,694.76,267.55
10.329,265.13,694.69,267.6
10.33,265.14,694.6,267.64
10.331,265.14,694.49,267.69
10.332,265.15,694.38,267.74
10.333,265.16,694.28,267.78
10.334,265.16,694.21,267.83
10.335,265.17,694.19,267.87
10.336,265.18,694.2,267.92
10.337,265.18,694.25,267.97
10.338,265.19,694.32,268.01
10.339,265.19,694.38,268.06
10.34,265.2,694.44,268.1
10.341,265.21,694.47,268.15
10.342,265.21,694.49,268.19
10.343,265.22,694.5,268.23
10.344,265.23,694.5,268.28
10.345,265.23,694.49,268.32
10.346,265.24,694.45,268.37
10.347,265.25,694.37,268.41
10.348,265.25,694.24,268.45
10.349,265.26,694.05,268.5
10.35,265.26,693.8,268.54
10.351,265.27,693.51,268.58
10.352,265.28,693.19,268.62
